"Nama","Review",""
"siskaa dwi","Kecewa! Saya tidak akan pakai aplikasi ini lagi! Refund tiket berbentuk voucher dan tidak ada pemberitahuan sebelumnya! Saya mengajukan refund dari 15 maret dan baru diberitau hari ini (itu pun kalo saya tidak bertanya) refund tidak bisa dalam bentuk tunai melainkan voucher! Coba yg refund dicek lag...Ulasan LengkapKecewa! Saya tidak akan pakai aplikasi ini lagi! Refund tiket berbentuk voucher dan tidak ada pemberitahuan sebelumnya! Saya mengajukan refund dari 15 maret dan baru diberitau hari ini (itu pun kalo saya tidak bertanya) refund tidak bisa dalam bentuk tunai melainkan voucher! Coba yg refund dicek lagi karena tidak ada pemberitahuan sebelumnya, refund hanya bisa berbentuk voucher!",""
"yoga sanjaya","Pegipegi emng luar biasa. Ajukan refund krn emng gak ada pnerbangan trkait corona. Udah kembalinya butuh 46 hari, uang tiket 2 jtan kmbali dlm bntuk VOUCHER cm 883 ribu. Baiklah, voucher itu akan jd transaksi trakhir saya dsini Pesan buat anda pengambil keputusan d pegi2 : kali ini anda boleh menang...Ulasan LengkapPegipegi emng luar biasa. Ajukan refund krn emng gak ada pnerbangan trkait corona. Udah kembalinya butuh 46 hari, uang tiket 2 jtan kmbali dlm bntuk VOUCHER cm 883 ribu. Baiklah, voucher itu akan jd transaksi trakhir saya dsini Pesan buat anda pengambil keputusan d pegi2 : kali ini anda boleh menang. Tp utk selanjutnya sdh pasti anda hancur",""
"Krisda Yanti","Sangat mengecewakan saya refund dari tanggal 21 maret sampai skrng 19 mei blom juga ada dana yg d kembalikan, padahal dari pihak maskapai sudah mengembalikan lebih dari 1bulan. Dan aplikasi lain semua yg saya refund sudah d kembalikan hanya pegipegi yg tidak konsisten dan mengecewakan.",""
"dinda aryani","PROSES REFUND 3 BULAN GAK JELAS.MENYESAL BOOKING DISINI",""
"Reza Ari","Refundnya ya allah udah dari 16 maret 20 maret proses. Bru kemarin tgl 17/18 april telpon maskapai katanya udah diproses trus sekarang tanya pegi pegi masih proses. Kan anjing...gak recom banget. Kondisi gini asli pegi pegi nahan smua dana refund..tutup aja aplikasimu gak berguna kamu.mending burung...Ulasan LengkapRefundnya ya allah udah dari 16 maret 20 maret proses. Bru kemarin tgl 17/18 april telpon maskapai katanya udah diproses trus sekarang tanya pegi pegi masih proses. Kan anjing...gak recom banget. Kondisi gini asli pegi pegi nahan smua dana refund..tutup aja aplikasimu gak berguna kamu.mending burung biru dll yang cepat. Sampai tiga bulan itu kebijakan tahun berapa kalau garuda paham lah klo sriwijaya air gak sampai segitu lamanya",""
"Venna Lee","Kalian kalau refund itu pakai uang jangan pake travel voucher! Orang beli pakai uang! Nyari uang susah bro!",""
"Arie Saputra","nyesal beli tiket disini, kita ajukan refund dari tgl 29 maret 2020 smpe skrng belum slsai juga, malah diganti dengan kupon, APLIKASI YANG BURUK!!!! yang namanya refund kembali uang, bukan malah di ganti dengan kupon. SANGAT SANGAT MENYESAL BELI TIKET DISII!!!",""
"Kim Sun","SANGAT BURUK!! Refund tiket berupa voucher supaya pelanggan tidak kabur.. Padahal masa pendemi sekarang orang lebih membutuhkan uangnya dikembalikan daripada voucher yg gak jelas.",""
"rudi suprianto","Buruk banget pelayanan refundnya. Sudah 2 bulan nunggu blm cair juga. Pusing.",""
"Dikky DaruHerman","Beberapa waktu lalu saya telepon pihak pegi2 mengenai refund dana dikarenakan covid-19, pihak pegi2 mengatakan bahwasanya utk pengembalian dalam bentuk dana tidak dijelaskan dalam bentuk Voucher!!!!! Saya Sangat kecewa berat mengenai hal ini karena saya berharap dalam bentuk dana bukan dalam bentuk ...Ulasan LengkapBeberapa waktu lalu saya telepon pihak pegi2 mengenai refund dana dikarenakan covid-19, pihak pegi2 mengatakan bahwasanya utk pengembalian dalam bentuk dana tidak dijelaskan dalam bentuk Voucher!!!!! Saya Sangat kecewa berat mengenai hal ini karena saya berharap dalam bentuk dana bukan dalam bentuk Voucher, tidak tahu kedepannya apakah jadi terbang atau tidak. Tolong untuk lebih teliti dan konsisten lagi dalam menyampaikan suatu informasi. Dan berikan solusi yg tepat untuk cuatomers! Saya KECEWA",""
"tanto trans","Ga usah pesan hotel disini. Sangat buruk pelayanannya",""
"Silas Kala Pali","Aplikasi payah. Refund tiket menunggu hingga 3 bulan ga ada sama sekali. Gimana mau cair? dari pihak maskapai menginfokan kalau tdk ada pengajuan refund dari OTA. SDM nya Payah!!! Terakhir pake aplikasi bobrok ini !!!",""
"Herlinda Wening P","Nyesel sumpah pesan disini ajuin refun udh 2 bulan gk dikasih alasanyan dari pihak maskapai,awas aja tu duit gk di tf ke rekening gw secepatnya dan uang pengembalian cuman di potong 15 ribu kalau sampe lebih awas aja lu pada.",""
"Yamin Muhammad","Kecewa.. Repund tiket berbentuk voucher.. Padahal saya saat ini butuh duit.. Bukan voucher.. , padahal ada 4 tiket saya cancel dan tunggu repundnya.. ,saya merasa tertipu dengan aplikasi ini..",""
"Ari Aji","ya Tuhan jangan pakek apl ini kebngetan bngt pengembalian dana busa ampek 3 bln pdhl di apl lain cm butuh 2 minggu ,aku saranin jangan pakek apl ini bikin rugi dan oengembalian dana gk 100% pdhl di apl lain 100% sumpah kecewa gak akn pakek lagi",""
"MANIAK CANDLE","Pelayanan yang buruk Proses refund sudah hari H pun tak dikirim. Harus nunggu berapa bulan lagi.",""
"I Made Dwi Aryanta","Saya mengajukan refund dari tanggal 1 april dan sampai sekarang uangnya belum saya terima. Alasan dari cs pegi pegi, menunggu 90 hari kerja karena uang belum cair dari pihak maskapai, tanpa mengecheck di sistemnya terlebih dahulu Dan ketika saya cross check ke maskapai, katanya uang sudah dibalikin ...Ulasan LengkapSaya mengajukan refund dari tanggal 1 april dan sampai sekarang uangnya belum saya terima. Alasan dari cs pegi pegi, menunggu 90 hari kerja karena uang belum cair dari pihak maskapai, tanpa mengecheck di sistemnya terlebih dahulu Dan ketika saya cross check ke maskapai, katanya uang sudah dibalikin dari tanggal 08 april 2020. Sampai hari ini uang saya belum balik. Kalo begini caranya, pantas banyak yg kecewa dengan pegi pegi. Kapok belanja di sini dan menggunakan aplikasi ini.",""
"hen rico vandria","Aplikasi pelayan masyarakat macam apa ini?? Refoun tiket berupa voucer,, yang kami butuhkan uang kami kembali.. Bukan voucer yg belum karuan kapan di gunakan lagi. Siap2 tumbang kalu perusahaan bikin kecewa costemernya, Voucer itu akan mnjadi transaksi terakhir saya untuk pegipegi, selanjutnya auto ...Ulasan LengkapAplikasi pelayan masyarakat macam apa ini?? Refoun tiket berupa voucer,, yang kami butuhkan uang kami kembali.. Bukan voucer yg belum karuan kapan di gunakan lagi. Siap2 tumbang kalu perusahaan bikin kecewa costemernya, Voucer itu akan mnjadi transaksi terakhir saya untuk pegipegi, selanjutnya auto delete applikasi",""
"surabaya 031","Aplikasi Taek refund karena Corona malah diganti dengan kupon pembelian tiket, tidak bisa diuangkan, pemberitahuan mendadak, dan juga pembatalan karena dari pemerintah, kenapa customer dirugikan gini, kita mau terbang juga belum pasti karena perkembangan Corona belum pasti, dan juga jika memakai kup...Ulasan LengkapAplikasi Taek refund karena Corona malah diganti dengan kupon pembelian tiket, tidak bisa diuangkan, pemberitahuan mendadak, dan juga pembatalan karena dari pemerintah, kenapa customer dirugikan gini, kita mau terbang juga belum pasti karena perkembangan Corona belum pasti, dan juga jika memakai kupon tidak bisa refund lagi, sama saja bohong",""
"ai-chan harfindha","sebenyebalkan itu dalam proses refund TIDAK JELAS Jawaban Komenan mu itu mulu, suruh hubungin CS, paan???? tapi tetep kagak ada solusi... uangnya balikiiin",""
"Pirman Manurung","Refund nya makan waktu sampai 3 bulan, sementara yg batalkan dari pihak maskapai. udh gitu kalau dana sudah di terima dari pihak maskapai masih butuh waktu 7-14 hari lagi untuk proses duit kembali katanya  , kejam  Sementara org udh makan nggak makan disini  karena gak ada kerjaan tetap di kota ...Ulasan LengkapRefund nya makan waktu sampai 3 bulan, sementara yg batalkan dari pihak maskapai. udh gitu kalau dana sudah di terima dari pihak maskapai masih butuh waktu 7-14 hari lagi untuk proses duit kembali katanya  , kejam  Sementara org udh makan nggak makan disini  karena gak ada kerjaan tetap di kota ini. Kalau mau pesan tiket pesawat dari sini lebih baik mikir² dulu deh ! Terimakasih.",""
"ongky pratama","Iklan hotel yang terdapat di aplikasi tidak sesuai dengan keadaan hotel. mengharuskan customer melakukan pembayaran 15 menit setelah booking, akibat ketidaksesuaian aplikasi proses pembatalan Check in tanggal 27 pembatalan harus tanggal 24, masa mau di cek 3 hari sebelum Check in.. Pembayaran uang k...Ulasan LengkapIklan hotel yang terdapat di aplikasi tidak sesuai dengan keadaan hotel. mengharuskan customer melakukan pembayaran 15 menit setelah booking, akibat ketidaksesuaian aplikasi proses pembatalan Check in tanggal 27 pembatalan harus tanggal 24, masa mau di cek 3 hari sebelum Check in.. Pembayaran uang kembali 14hari kerja? Keburu liburan selesai.. Kurang dapat dipercaya aplikasi ini.. Cs memberikan jawaban tidak masuk akal..",""
"Santi Ashari","Refund tiket pesawat dari tanggal 22 April sampai sekarang uang belum masuk ke rekening. Hubungi via live chat gaada kejelasan sama sekali & balas chat sangat sangat lama sampai saya chat ""tes, tes, tes"" beberapa kali baru ada jawaban. Tolong diperbaiki dong. Kalau gaada wabah inipun gamungkin saya ...Ulasan LengkapRefund tiket pesawat dari tanggal 22 April sampai sekarang uang belum masuk ke rekening. Hubungi via live chat gaada kejelasan sama sekali & balas chat sangat sangat lama sampai saya chat ""tes, tes, tes"" beberapa kali baru ada jawaban. Tolong diperbaiki dong. Kalau gaada wabah inipun gamungkin saya refund tiket pesawat. Sangat kecewa si, pengalaman refund tiket pesawat di aplikasi lain lebih cepat ketimbang disini. KECEWA!!!!!!!!!!!!!!Sekali lagi tolong diperbaiki jika ingin bersaing!!!!!!!!",""
"Adi Ui","Sangat sangat mengecewakan. Tolong kalau tulis keterangan di hotel sesuai keadaan nya.saya sangat kecewa. Gak bakal lagi pesan lewat sini.kapok very very bad.saya ikhlasin saja uang saya gak kembali. Duit sudah saya transfer dan ada Ket berhasil dan ada bukti nya di bilang uang gak di transfer dan g...Ulasan LengkapSangat sangat mengecewakan. Tolong kalau tulis keterangan di hotel sesuai keadaan nya.saya sangat kecewa. Gak bakal lagi pesan lewat sini.kapok very very bad.saya ikhlasin saja uang saya gak kembali. Duit sudah saya transfer dan ada Ket berhasil dan ada bukti nya di bilang uang gak di transfer dan gak masuk .hello kalau mau berbohong dipikir dulu 🖕🖕🖕",""
"Jemsray","SAYA MENGAJAK KALIAN YANG MERASA DIRUGIKAN SAMA² MENGGUGAT APLIKASI INI KE OJK, LEMBAGA OERLINDUNGAN KONSUMEN, LSM, ATAU LEMBAGA BANTUAN HUKUM LAINNYA. Tentang refund, janjinya bisa uang kembali.. tenyata kebijakan baru sangat merugikan konsumen.",""
"Nurul Afni Octaviani","Refund dari maskpai bentuk tunai, tapi dr travel agent diubah jd voucher dg keputusan sepihak. Pakai app biru biru aja",""
"Hendra Hendra","Ga mau lagi beli tiket lagi di pegipegi. Kapok saya, refund tiket lebih dari 1 bulan ga dibayar2. Lalu alasannya dari pihak maskapai blm proses, karena penasaran, saya hubungi pihak maskapai. Katanya sudah dikembalikan full ke pegipegi. Tinggal menunggu proses pegipegi refund uangnya. Kecewa lah, jg...Ulasan LengkapGa mau lagi beli tiket lagi di pegipegi. Kapok saya, refund tiket lebih dari 1 bulan ga dibayar2. Lalu alasannya dari pihak maskapai blm proses, karena penasaran, saya hubungi pihak maskapai. Katanya sudah dikembalikan full ke pegipegi. Tinggal menunggu proses pegipegi refund uangnya. Kecewa lah, jgn mau beli disini lagi. Saya jg kapok, mending yg pasti pasti aja. Sampai tgl skr saya posting, tiket refund saya blm dikembalikan.",""
"Fajar Ramadhan","Kecewa banget dengan aplikasi ini , karna proses pengembalianya refundnya terlalu lama, tidak sesuai pada saat pembelian yang diharuskan membayaar dengan waktu yang singkat, apalagi dalam pengajuan refund terkait adnya larangan mudik dan covid 19- , karna semua sangat membutuhkan pengembalian refund...Ulasan LengkapKecewa banget dengan aplikasi ini , karna proses pengembalianya refundnya terlalu lama, tidak sesuai pada saat pembelian yang diharuskan membayaar dengan waktu yang singkat, apalagi dalam pengajuan refund terkait adnya larangan mudik dan covid 19- , karna semua sangat membutuhkan pengembalian refund yang cepat dalam ke adaan ini , trims",""
"Shinta Laurence","Kecewa sama refundnya, saya bayar tiket pesawat pake duit, malah dikembaliin dalam bentuk voucher, udah gitu prosesnya lama banget.",""
"morena boys","kamu ambil uang kami dalam hitungan detik, tapi untuk mengembalikan dana refund dalam hitungan bulan... tolong jangan mempermainkan konsumen",""
"Ahmad Syaiful kahfi","Ini parah banget CS pegi2 yaa , ya elahh di kasih tau masalah nya dimana masih ajah mohon tunggu sebentar ya pakk , SAMPE PULSA HABISS",""
"yudha kurniawan","Ini pegi"" sengaja mempermainkan promo . Kemarin malam saya pantau tiket kereta api ada promo diskon 30rb untuk mudik dgn pembayaran via virtual account permata bank dengan atm bersama atu logo alto. Dan sekarang saya cek promonya sudah gak ada padahal di layar utama promonya berlaku sampai 6 maret 2...Ulasan LengkapIni pegi"" sengaja mempermainkan promo . Kemarin malam saya pantau tiket kereta api ada promo diskon 30rb untuk mudik dgn pembayaran via virtual account permata bank dengan atm bersama atu logo alto. Dan sekarang saya cek promonya sudah gak ada padahal di layar utama promonya berlaku sampai 6 maret 2020. Bang**T .",""
"Neddy Hunter","Pelayanan memgecewakn, pihak pegi pegi yg cancel pesanan hotel saya pada tanggal 22 febuari 2020 Tp sampai sekrng blm ad pengembalian dana.",""
"Fitria Wulandari","Gila pegi2 ni,masa uang refund harus nunggu 6bln sampe d tangan,itupun kalau sampe😠katanya awalnya 1-2minggu,d tanyain lagi nunggu 1-3bln.ni nunggu Lagi 30-45hari😠kita butuh uangnya",""
"Bobby Hendra","Mengecewakan...mohon perbaikannya..saya pesan tiket tapi tidak masuk ke email dan akhirnya hangus begitu saja....",""
