"Nama","Review",""
"Aries Susanti","Saya booking villa dan diminta pembayaran dgn batas waktu sekitar 50 menit harus sudah bayar. Saya langsung transfer m-banking dan setelah mendapat Itinerary ID, saya langsung menghubungi contact person villa yg tertera. Ternyata saya dikabarkan over booking dan di oper ke villa lain yang fasilitas ...Ulasan LengkapSaya booking villa dan diminta pembayaran dgn batas waktu sekitar 50 menit harus sudah bayar. Saya langsung transfer m-banking dan setelah mendapat Itinerary ID, saya langsung menghubungi contact person villa yg tertera. Ternyata saya dikabarkan over booking dan di oper ke villa lain yang fasilitas nya kurang memuaskan (tidak mendapat air, sikat gigi, kolam renang tidak dibersihkan dan tidak di info mengenai sarapan). Saya bayar mahal dan pulang dengan kecewa.next akan pikir lagi booking di sini",""
"siti fatimah","setelah saya bayar tiket eh muncul harga baru yang lebih murah, udh dua kali beli tiket di sini rasanya nyesal terus. kapok",""
"hans surya","Apaan ini traveloka yg sekarang makin kacau, minta di update tapi ga bisa buat top up data dan pulsa, disarankan uninstall tetapi setelah reinstall sama saja ga bisa. Andaikata bisa di chatt ini kasih bukti capture pasti akan lebih percaya lagi bukan sekedar kritikan belaka.",""
"Putri Haryanti","Traveloka saya knapa error, ada tulisan ""terdapat masalah koneksi, halaman yg anda lihat mungkin bukan versi baru"". Pahal saya sudah perbarui, bahkan sampai saya instal ulang tetep ga bisa, sinyal juga bagus. Saya sudah email travelokanya pun blm ada jawaban",""
"raihan dwipriandi","Dear traveloka, Aplikasi ini bagus tetapi masih ada kritik khusus untuk lembayaran via UANGKU yang bermasalah,mohon menjadi pertimbangan untuk mencari partner baru sebagai pengganti UANGKU,karena UANGKU selalu terjadi error system sehingga terkadang pembayaran mengalami kendala yang akhirnya membuat...Ulasan LengkapDear traveloka, Aplikasi ini bagus tetapi masih ada kritik khusus untuk lembayaran via UANGKU yang bermasalah,mohon menjadi pertimbangan untuk mencari partner baru sebagai pengganti UANGKU,karena UANGKU selalu terjadi error system sehingga terkadang pembayaran mengalami kendala yang akhirnya membuat customer mengalami kerugian secara materil",""
"Titia Nihaya","Sudah langganan pakai aplikasi ini buat booking tiket pesawat aku n teman2 kantorku, refundnya cepet. Terus dah berkali2 nginap di hotel bayarnya pakai traveloka poin ??",""
"Tia Julianti","Makin hari makin gak jelas, tiap mau cek tiket pesawat selalu sedang dlm perbaikan pdhal aplikasi ga minta diupdate!!!",""
"Krishna Duta Dharmawan","Yth. Admin Traveloka. Mohon pencerahannya, rental mobil dengan sopir milik perorangan apakah bisa mendaftar menjadi mitra?",""
"Rifaichek channel","Anjeng kaya anjeng pepek lah suruh masuk lewat fecebook pas kita refund jadi gak jelas kalo email fecebook nya gak sama kaya gmail anjeng lah pepek hilang dah duit gua Woi anjeng lo tau gak gua emang pesan yg murah harga 760.000 tapi lo tau gak gimana usaha gua buat dapetin duit segitu anjeng emang ...Ulasan LengkapAnjeng kaya anjeng pepek lah suruh masuk lewat fecebook pas kita refund jadi gak jelas kalo email fecebook nya gak sama kaya gmail anjeng lah pepek hilang dah duit gua Woi anjeng lo tau gak gua emang pesan yg murah harga 760.000 tapi lo tau gak gimana usaha gua buat dapetin duit segitu anjeng emang anjeng lah pepek Buat yg mau pakek langsung aja pakek biar Kena semua anjeng Kalo mau tau kenapa gua kasih bintang 5 nah kalo lo ngasih bintang di bawah 3 bakal Di laporinsamaaplikasiinikanNJENG",""
"lee philun","Traveloka....oh....Traveloka....dl sering booking hotel pakai apk ini....tp belakangan ini jd agak gimana gitu...lucu... begitupun komenan ulasan lebih banyak yg komplainnya...gencar promo dan iming2 diskon....tp yaa mbok smart lah...yg ikhlas kalo ada promonya...harga wajar gak dgn iming2 yg diberi...Ulasan LengkapTraveloka....oh....Traveloka....dl sering booking hotel pakai apk ini....tp belakangan ini jd agak gimana gitu...lucu... begitupun komenan ulasan lebih banyak yg komplainnya...gencar promo dan iming2 diskon....tp yaa mbok smart lah...yg ikhlas kalo ada promonya...harga wajar gak dgn iming2 yg diberikan....kdg menemukan juga harga yg diluar nalar.....itu dr pihak hotelnya atau Traveloka nya sih...pdhl hr weekend biasa....bukan high season...",""
