"Nama","Review",""
"Silvia Kartika Sari","Waktu bikin promo epic sale malah ga konek servernya! Ah payah.. padahal mau booking hotel utk siang ini juga. Kecewa.. epoc sale sebelumnya ga gini, makin kesini malah makin turun performanya.. mendingan kasih diskon dengan bentuk promo lain aja deh kalo ga siap bikin epic sale..",""
"Ahmad Baikuni","Kenapa skrg traveloka ga Seperti dulu min, skrg ngisi pulsa aja Mahal terus ga ada nominal kecilnya tolong kembalikan traveloka yang hemat, cepat Dan tanggap saya memilih traveloka karena Beda sama Aplikasi lain, tapi kalo masih Seperti Ini ya terpkasa ke Aplikasi yang lain.",""
"nadin jul","Aplikasi taik Masa pas saya transfer uang ke uangku bisa, pas mau digunakan mlh banyak syarat. Anjing kau, kau kira saya pake uang nene moyangnya kau.",""
"Cholid Ridwan","Saat penagihan paylater DC tidak sopan da tidak ada attitude nya, dia memanggil sya dengan sebutan bintang .",""
"Muhammad Zacky","Hari ini mau bayar tagihan listrik tp ga bisa, loading terus. Apakah ada gangguan?",""
"Elmo Panca","Verifikasi Akun tak terkirim akhirnya akun malah kena Block dan saldo Paylater hilang semua !!!!",""
"Argi Yani","Ini knp ya ga bs pesen tiket kereta untuk 1 apa 2 bln ke depan?? Dulu selalu ga ada masalah",""
"Fadhil Fattah","Kenapa skrg diskonnya berupa cashback, please kembalikan diskon berupa potongan harga,",""
"Shinta Anandithara","Hati hati dalam penggunaan travelokapay/paylater. Karena saya mengalami keterlambatan pembayaran cicilan paylater dan tiba2 dihubungi oleh debtcollector melalui whatsapp mengatasnama kan traveloka. Dan akan melakukan penagihan kerumah. Sedangkan dlm perjanjian awal tdk tercantum bila cacat bayar ata...Ulasan LengkapHati hati dalam penggunaan travelokapay/paylater. Karena saya mengalami keterlambatan pembayaran cicilan paylater dan tiba2 dihubungi oleh debtcollector melalui whatsapp mengatasnama kan traveloka. Dan akan melakukan penagihan kerumah. Sedangkan dlm perjanjian awal tdk tercantum bila cacat bayar atau ada keterlambatan pembayaran maka pihak traveloka akan melibatkan org ke 3(debtcollector) dalam hal penagihan.",""
"Rico Tangkilisan","Saya mau pesan hotel dengan opsi bayar di hotel. Tapi setelah pesan kok tetap aja harus pake kartu kredit dulu baru bisa ke tahap selanjutnya. Tolong diperhatikan lagi untuk opsi bayar di hotel. Makasih",""
"yopi dhana wihartha","jgn trll bnyak pembaruan,lama2 gue hapus nih aplikasi,pembaruan mulu,gue kurangi bintangnya.",""
"Dian Andrini","KECEWA dri app pesen extra bed pas sampai hotel ternyata mereka ga menyediakan minta refund ribet banget, cari duit ga baik aplikasi ini",""
"Dede Yusuf Sophian","kalo buat promo jangan nguntungin orang kaya pak , berilah promo pada org yg kekurangan dan membutuhkan . berilah promo se sederhana mungkin .",""
"Edi gie","ini aplikasi lemot banget buat pencarian sinyal bagus pake kartu simpati nyari hotel penginapan muter muter doang nyesel download nya",""
"Mohamad Alwi Lutfi","Sejak td kemarin sore (rabu 2 oktober 2019 sampai skrg, knp gak bs beli pulsa atau paket internet, tiap sy klik pulsa/paket internet, kembali ke home alias halaman depan aplikasi). Mohon diperbaiki",""
"Putra Alika","Kenapa aplikasi traveloka saya gak biaa dibuka, selalu kaya gt, gimana mau pesen tiket pesawat nya ini, sering bener kaya gini si, tolong di perbaikilah",""
"Imam Muchsin","Kamu ini satu satu nya aplikasi yang selalu mengganggu saya saat sedang menonton youtube. Iklan mu itu terlalu banyak. Sampai menjengkelkan.",""
"Gugi Tan","Sangat kecewa!! Info dari via telepon siap untuk di refund tapi di via email tidak bisa refund, malah di lempar suruh ngurus sendiri!",""
"A.R. Bagas Danang Haditio","Skg kok tdk ada diskon untuk bill payment dan skg hd mahal ya tahun baru harga baru atau bgmn?",""
"aldio Official","Sya kcwa, knp ga bksa refund, d klik ga bisa, d tlp k pihk traveloka ga d angkt, pesanan sya hangus, rugi, mnding kalian download apl lain, ini ga bisa batalin pesanan,",""
"carolina frida","Saya pernah beli tiket KAI melalui Traveloka. Apakah akun saya bisa diganti oleh ayah saya, Raharjo. Karena HP sudah saya berikan kepada beliau. Berarti harus daftar ulang dengan email ayah saya?",""
"Tupsky","Kenapa saya mau reschedule pemesanan hotel buat ganti tanggal/hari tidak bisa ya?",""
"cc Bernike","Kurang ada kesamaan data sama maskapai penerbangan , dari Traveloka gk ada notif apapun selain cmn notif agar siap2 berangkat h-1 maskapai ngabarin penerbangan di tiadakan",""
"SeRoOnEy mOmS THaNia SHaFFiRa","Sekarang diskonnya jarang dan sedikit potongan tambahan promonya.. Banyakin lagi donk Traveloka biar seperti dulu..",""
"Andhini Yo","Ini traveloka kenapa sih? Pesen tiket kereta ga bisa. Kereta penuh mulu semua pas di klik. Udah ganti tujuan jg sama aja. Kerera penuh. Ini eror apa gimana sih? Gajelas bgt !",""
"selfi triliana","Setelah d perbarui kenapa saya tdk bisa menemukan hrga tiket, jadwal pmberangkatan kereta?? Selalu tidak ditemukan... Kecewa.",""
"Tria Septi","Kecewa padahal lagi butuh diskon rental mobil buat liburan..tapi malah gak ada..",""
"akihiza mikage","Sangan kecewa mau refund bisa berubah alasan potong refund nya terlalu besar terus dan lama kiriman harga 3104000 jadi 2230000 tolong percepat kiriman nya minta duit saya balik",""
"Mutmainnah Mahendra","done. cek aj update ulasan lain nya. Fahamlah pasti kenapa start 1 nya meningkat.",""
"hiburan game , memancing amatiran","cara untuk mendaftar kan jasa rental bagaimana kak bisa bantu kami . terima kasih.",""
"Rifky Herlambang","Kenapa skrg cek status penerbangan untuk lion air atau wings air tidak bisa ya??",""
"NaelJuti OFFICIAL","Kenapa tidak bisa memasukan alamat tempat tinggal? tolong bantuannya dong min..",""
"Muhammad Ichsan","kenapa sih jurusan magelang dikit bgt busnya.. knpa murni jaya belum online.. apakah bisa di bantu sprti bus sinar jaya",""
"nina lahia","Kog traveloka aku udah ngga bisa di buka..? Pas mau buka ngga bisa..apa skrg lagi ada maintenance sistem traveloka..??",""
"Meikel Lim","Min..klo top up saldo emang harus tunggu 30 m?? Ga bisa lebih cepat?? Pdhl saya sudah upload bukti pembayaran loh.. Sampai skrg blm masuk jg..sangat mengecewakan..",""
"Rizal Mukminin","Kalau mau potong knp stengah harga hilang ? Kuharamkan uang yg kalian ambil...sampai akhirat....",""
"Burhanudin Fahruda","Kenapa tidak bisa daftar paylater, padahal saya sudah perbarui apl ke versi yang terbaru, mohon bantuannya, terimakasih",""
"Welly Mart","Tidak profesional..proses refund nya tidak jelas..dan menbohongin cust. Sy kecewa sama trvelokaa",""
"Zihan Nugraha","Ini saya sudah pesan tiket dan sudah bayar besok syaa akan berangkat sedangkan e tiket saya belum ada karena ketika saya buka aplikasi traveloka tidak bisa terbuka. Saya mohon pertanggung jawabannya",""
"Selvia Handayani","Menu pulsa dan paket internet tidak dapat dipakai setelah update. Sudah saya coba uninstall dan install ulang, tetapi hasilnya tetap sama",""
"Khaban Joy","Pergantian pencarian tanggal pesawat jd ribet.Harus kembali dan setel ulang tanggal,tidak seperti sebelumnya,kita tinggal klik tanggal yg sudah ada sesuai hari yg kita mau.",""
"fajar maulana","Mungkin untuk promo-promo potongan harga bisa ditambahkan untuk semua dan jangan untuk pelanggan tertentu saja",""
"TK.muhammad ridho","Menghilangkan harga tiket lion dan tiket murah agar promo paylater bnyk yg pakai, aplikasi ngutang aplikasi riba, Mending pakai airy",""
"Desi Fitriyeni","Udah 2 kali didownload kok menginstal terus, padahal ribut nyuruh update, tpi mlh begini, kesel deh",""
"YT noob Gaming","gak jelas ah masa nyari tiket bus aja tidak ditemukan, uninstall percuma banget nih aplikasi,",""
"Cent Tommy","Kalau memang sudah tiket sudah habis atau penuh tolong di update.. Mau mesen tiket kereta padahal tulisan masih ada bangku.. Pas mau bayar tiba tiba gak bisa karna penuh..",""
"Herlinda S.T.P.","Kok gak bisa pesen tiket pesawat..? Yg muncul tulisan MAAF SISTEM MENGALAMI GANGGUAN SEMENTARA. Tolong diperbaiki segera donk...",""
"Icha Marimar","sorry to say.Harus uninstal traveloka. Krana BA nya si Ayu Tingting. You know what itu bikin citra kalian menjadi buruk. Bye traveloka!!",""
"Luthfi F. Hidayat","Bagaimana cara menggunakan kode promonya? Setelah pesan tapi engga ada potongan apa2? Disitu tertera minamal pemesan 300rb.. Mohon pencerahanya min",""
"Gus Muji","Saya bintang 2,karena sekarang lemot kl mau pesan tiket...saya lama jadi pelanggan dan setia pakai travekoka tp sekarang pelayananya kog ndak semakin baik malah semakin uruk",""
"Lili Nur indah sari","tiket pesawat dr bandung ke bali mahal bnr ya,dlu cma beda2 tipis sma dr jakarta,skrg hampir setengahnya bedanya dr jkrta lebih murah.gmn caranya sih supaya dpt tiket murah",""
"benny ardany","Jangan mau pakai layanan antar jemput bandara.. seperti tidak bertanggung jawab saja",""
"Herman Riadi","Saya pesan penginapan, ternyata waktu check in penginapan sdh dijual. Dan terlantar 3 jam. Penginapan pengganti down grade",""
"xxxone 31","di upgrade ke versi ini koq jdi gak bisa di akses lgi tiket pesawatnya y?? Sebelum di upgrade tdi lancar jaya...!!",""
"lina apriyanti","Tgl 14-10-2019 hari ini saya terbengkelai di stasiun pasar senen dikarenakan tiket kereta api yg saya beli lewat traveloka tidak mendapatkan E Tiket nya jd saya gagal berangkat ke kota tujuan karen pihak traveloka di tanyakan tentang E tiket jawabannya hanya disuruh tunggu 30-60 menit sampai lebih d...Ulasan LengkapTgl 14-10-2019 hari ini saya terbengkelai di stasiun pasar senen dikarenakan tiket kereta api yg saya beli lewat traveloka tidak mendapatkan E Tiket nya jd saya gagal berangkat ke kota tujuan karen pihak traveloka di tanyakan tentang E tiket jawabannya hanya disuruh tunggu 30-60 menit sampai lebih dr 120 menit saya menunggu sambil tlpn dan chat itu pun susah responnya bhat live lg ngetik tiba2 keluar tlpn sudah habis sampai 50rb cuma disuruh tunggu kalian tau tidak saya lapar dan ngak punya uang",""
"Andhika Putra","Pas saya mau melihat detail tiket pesawat yang akan saya pesan kok tidak bisa malah keluar dari aplikasi",""
"Desy Riski Pujiningrum","Mau daftar paylater gak bisa, gara2 foto ktp gak bisa ke upload, tolong diperbaiki",""
"Anisa Fatimah","Baca2 komen orang2 banyak yg kecewa sama traveloka. Gajadi deh mau main2 di app ini. Goodbye aja ??",""
"Mercy Mom","Utk daftar ke traveloka pay later sulit bgt. Pdhl KTP udh di foto sedemikian rupa ttp aja ga kebaca. Kecewa",""
"musex enak","Pay later tidak disetujui dengan alasan profil tidak sesuai....setiap bepergian selalu pake traveloka.... maaf unnistal",""
"Sompie Marthina","Mohon infonya,, gimana cara buking tiket pesawatnya,, dan apakah aplikasi ini aman dan resmi,, maaf ya sebelumnya soalnya saya baru pertama kali memakai traveloka.. Trima kasih",""
"Hennezy Rex","Mau ganti nomer aja ribet, CS nya muter2, sudah 5 hari masalah gak kunjung teratasi, saldo msh ada tp jd gak bisa dipake. Saya duga plg ini jawabnya suruh emailke CS Traveloak...",""
"Marchel pres Team","Permisi pihak travelloka saya mau pergi dari banjarmasin ke surabaya ko pesawat nya cuma Ada garuda jadinya saya sangat kecewa dengan traveloka",""
"rissa wijaya","Pay letter gak pernah di approved, padahal pelanggan setia",""
"Joice Ruth","Guys hati2 kalo mau pake paylater traveloka..peraturannya kebanyakan jebakan, yg dimana hrsnya tidak ada tapi malah ada tanpa pemberitahuan!!!",""
"difa chute","balikin duit saya... 400rb... ati2 ya... yang mau isi saldo uangku... klo saldo ndak masuk mereka angkat tangan.. bajingan nih aplikasi",""
"Fajrun Falah","Mohon dengan sangat untuk pihak traveloka berkenan menambah rute bus. Supaya kami mudah untuk pulkam ketemu emak kami di kampung.",""
"febrianti new","Bener2 lama nunggu refundnya.. kalo lo mau cepet.. kata mba cs harus bayar extra pas mau pesen tiket ya gais.. pdhl ini tiket d batalin maskapainya.. tp dana ga d balik2in njirrr... kalo udh d balikin w tmbh bintanh deh",""
"Ichang Sani","Jangan pesan mobil antar jemput d aplikasi ini , nti d tipu sprti sya. Sdh order krim uang tpi mobil tidak dtang n refund tidak di kembalikan..",""
"Mahfudz Aziz","scroll nambah jumlah penumpang di halaman tiket pesawat kok susah kenapa ya?",""
"Oktar Setyawan","Kapan ada tiket lokal kereta api..?siapa tau menyediakan juga",""
"Ruryy Queen","Traveloka gk kya dlu... Skarang ngeselin,serba mahal,masa mau pesen tiket kereta pun dari kota ke jogja gk bisa,..payah bgt..",""
"ALL STAR","Penerbangan yg di cancel oleh maskapai, tpi refaund ke travelokanya yang lama, 14 hari kerja,. Waduh,.. super lambat... Tolong di percepat lagi...",""
"Heri H","Ganti HP ga bs log in. Kontak CS ga solutif. Uninstall aja",""
"jaya dharma","Apes dapet hotel bau apek, istri langsung sesaknya kumat, langsung ke ugd, mana di lembongan lagi",""
"Achmad Reza","Pelayanan gak bisa cepat...uang kalian bkal hangus..udh jgn pake aplikasi g bermutu ini..",""
"risqi yuda pratama","Ngga guna, harga tidak sesuai dengan yang aslinya kemahalan.",""
"Nilam Noverla","Mohon maaf knapa traveloka saya dalam perbaikan terus ya? Mohon bantuannya",""
"Santika Sari","Serem juga pesen di Traveloka.. masalah re schedule..kog kaya membodohi kita ya..",""
"Gusti Abdul hadi","Sementara 3 bintang dulu klo udah apdet makin bagus ngga buat kecewa baru kasih bintang 100 klo ada he he",""
"Irena Sembiring","Dear Traveloka, knp saya tidak bisa buat akun paylater ya? Apa yang salah dengan saya? Saya sudah coba 2x dan selalu gagal. Mohon bantuan nya. Terimakasih",""
"Aldi Romaldi","Sudah niat untuk bangun tengah malem ingin beli tiket kereta api. Tapi sayang sekali masalah koneksi ???? bikin mood hancur..",""
"Yuliana Dwi Puspitarini","Utk paylater, ambil foto ktp susah amat.. mo berapa kali cekrek ??? Bilang aj ga bisa lah pake paylater ????????????????",""
"rikki adam driver gojek","Telephone CS gak bisa bisa hubungin via chat balasannya itu itu aja mau ganti nomer payleter yang terdaftar mau ganti yang baru sedangkan nomer yang lama uda g aktif dan uda lupa tapi masih di suru cantumin nomer yg lama amu inget nomernya seperti apa orang nomer uda g aktif dan kartu sim cardnya ud...Ulasan LengkapTelephone CS gak bisa bisa hubungin via chat balasannya itu itu aja mau ganti nomer payleter yang terdaftar mau ganti yang baru sedangkan nomer yang lama uda g aktif dan uda lupa tapi masih di suru cantumin nomer yg lama amu inget nomernya seperti apa orang nomer uda g aktif dan kartu sim cardnya uda tidak ada..apa ga ada opsi lain selain itu..padahal tadinya mau liburan sekeluarga ehhh ehh dodo eehhh malah ga bisa..bintang 5 next time aja kalau uda bisa",""
"arfin desfiana","Saya pernah pesan tiket tp terkendala krn transfer bank ada gangguan..kemudian saya menghubungi traveloka dan katanya akan d kembalikan duitnya tp sampai sekarang tidak dihubungi lagi sama traveloka..",""
"Tika Ktj","ribet pake traveloka........mau transaksi aja susah banget....sdh berkali-kali seperti ini terus.......mending uniistal aja lah...",""
"Septian Sofiawan","Ko aplikasinya jadi lemot, untuk masuk saja susah, untuk pemesanan tiket apalagi. Padahal dulu ga seperti itu",""
"chanel putra","Gak lengkap. Tujuan krian sidoarjo -kesamben blitar tidak ditemukan.. Sy uninstal saja ????",""
"Fitri Gupitasari","Susah banget dah buat downloadnya, padahal sinyal bagus, kuota ada aneh emng",""
"Khairil Anwar","Untuk pemilihan tempat duduk gimana caranya yaa, tolong bantuan nya",""
"Eky Nabil2a","Aplikasi bacottttttt bikin iklan melulu tiap 5menit iklan dan terus menerus lama2 bikin hp hank perbaiki kalo tidak semua pelanggan pada uninstal ????",""
"nurma hadi412","Proses refund sudah sesuai prosedur.kami kirimkan data.pemberitahuan notifikasi transaksi sukses.setelah di cek BELUM ADA YANG MASUK Sampai 2/3 kali kami kirim data ulang,bertambah waktu lagi Sebenarnya kami yg sudah mengikuti prosedur atau proses pengembalian dari Traveloka yang menyulitkan dan men...Ulasan LengkapProses refund sudah sesuai prosedur.kami kirimkan data.pemberitahuan notifikasi transaksi sukses.setelah di cek BELUM ADA YANG MASUK Sampai 2/3 kali kami kirim data ulang,bertambah waktu lagi Sebenarnya kami yg sudah mengikuti prosedur atau proses pengembalian dari Traveloka yang menyulitkan dan menyusahkan kami Why why why MENGECEWAKAN Terhitung sudah 1bulan dri proses awal refund dikarenakan kabut asap trmksh",""
"Bella syaif","Kenapa paylater saya tidak bisa dibuka? Setiap saya buka paylater yg muncul malah layar pembayaran, bukan paylater, saya ingin bayar tagihan paylater jadi tidak bisa",""
"Tony Adi Wijaya","Mulai dulu pakai traveloka, cuma beberapa kali terkahir ini kok kasih review hotel gak bisa ya. Gk ada tombol kirimnya. Unggah foto juga tidak bisa.",""
"Erni Santoso","Knp saat ingin bayar PDAM , muncul peringatan koneksi internet tidak ada???sedangkan diaplikasi lain bisa. SANGAT MENGECEWAKAN!!!!",""
"Dwi ArifKu","Kenapa sering error tidak ada koneksi? Beli token pln & sudah transfer berhasil. Tapi tdk ada notifikasi, pesanan jg tdk muncul. Gimana traveloka???",""
"Rahmat Hidayat","Kemaren saya daftar paylater udah lengkap cuma salah no hp di tunda jadi 6 bulan parah,, Kok blom di setujui",""
"ishezar 12","Saya mau pesan kmar di hotel jw mariot medan ko selalu tidak tersedia,,padahai saya cek di aplikasi lain kmar selalu ada yg ready tpi di traveloka kamar tidak tersedia selalh knpa",""
"Adhi Saputra Negara","Kenapa tidak bisa ke tagihan & isi ulang ya?? Makin lama makin ga nyaman aplikasi ini loh,,,",""
"Oking Ganda Miharja","Kenapa setiap waktu pemberitahuan muncul ttg traveloka di hp android samsung ku, setiap menyentuh layar. Terpaksa saya uninstal. Kalau saya perlu saya instal lagi.",""
"Nina Bell","Ini gimana sih!!!!, mau booking hotel padahal masih sisa 2 kamar ehh pas mau dipesen malah ada tulisan ""kamar sudah tidak tersediaaa"" .",""
"Budi Purnomo","Tolong untuk top up uangku lebih baik menggunakan virtual accaunt. Untuk menghindari salah kode unik. Terima kasih",""
"Sadam husein Thalib","Hampir sakit hati .untung pihak maskapai cepat respon...",""
"djainudin timika","Kenapa saat sy daftar paylater tdk bisa mengupload foto ktp ya? Sistem selalu kembali ke menu utama pas mau foto ktp",""
"Firda Prilia","Kesaaaaaal. Sudah bayar baru ada pemberitahuan voucher ga bs diredeem. Costumer servicenya jyga leleeet",""
"Aprilianto 57","Waduh ..baru install baca ulasannya ko kebanyakan yg kecewa si sama traveloka ..kasih bintang 1 dulu ya",""
"Ni Nyoman Kartika","Sebenernya suka sm aplikasi ini.. tp semenjak diiklanin sm ayu ting ting, mohon maaf nih yee siap2 #uninstal lah.. masa artis 'bad attitude' gitu dipake BA aplikasi sebesar traveloka.. msh bnyk kali artis yg bagus2 kyak keluarga chelsea-glenn kan bagus tuh",""
"Faisal Dendy","Saya lihat tiket kereta sby-jogja kok gak tersedia terus, padahal buat February",""
"Selviana Purwanto","Kok susah x yak suka gak ad jaringan klw mw pemesanan tiket Pdhl byk kuota jg gt sm g ad jaringan..gmn nya aplikasi ini",""
"janudin Cikampek","Untuk asuransi on time protection lumayan cepat, cuma awal2 agak ribet",""
"Muhammad Ubedillah","Untuk pencarian bandaranya susah masih belum bisa muncul ,",""
"Alan Chimenx","Tiket bus itu kayak mana? Di apk lu masih ada tpi dipesen pada gak bisa kan kocak tai",""
"Jeanette Lee","Gampang dibobol, keamanan rendah Setelah itu pihak traveloka tidak mau bertanggung jawab",""
"Ayu Dani","Baru nie sy kecewa dg traveloka 3x langganan pesan tiket pesawat dr surabaya-samarinda dr bln kmrn pesan,kurang 12hr berangkat bsÂ²nya di batalkan penerbangannya ?? pdhl itu tiket penting skali wat hidup sy krn tuk wali nikah sy,tuk refundan sepertinya lama,jika nt pemotongannya refundan tidak wajar ...Ulasan LengkapBaru nie sy kecewa dg traveloka 3x langganan pesan tiket pesawat dr surabaya-samarinda dr bln kmrn pesan,kurang 12hr berangkat bsÂ²nya di batalkan penerbangannya ?? pdhl itu tiket penting skali wat hidup sy krn tuk wali nikah sy,tuk refundan sepertinya lama,jika nt pemotongannya refundan tidak wajar sy gk bakal lg pake travelola,bru ini sy sangat kecewa",""
"Diva Syafira","Saya refund dan menunggu batas refund sampai 5 hari tapi tidak ada balasan dari traveloka",""
"Ssr Accessories","kok jadi ngelaq ya. gak bisa pilih jumlah penumpang. tolong di perbaiki lagi lah",""
"Sandyparker","Mengecewakan server down mlu mau pesen tiket selalu error dan akhirnya sold out tiketnya..",""
"Axcel sexco","sejak pertama app ini muncul saya selalu menggunakan app yg namanya Treveloka,ga pernah kecewa sampai sekarang ,sukses terus dan lebih baik lagi.",""
"frost snow","Kenapa apl traveloka saya selalu gangguan??uda pasang apl nya gak bisa buka,kalo bisa buka akun saya selalu di keluarkan??kenapa??",""
"Sa","Hai traveloka,tolong kalau bisa pesan tiket kereta bisa lebih dari 4,misal bisa 10 sekaligus",""
"Barkah Stg","Minimal kalo mau update sehari 4 kali gitu... Jangan nanggung nanggung",""
"Kriz shakeer","Maaf saya uninstall promo tiket pesawat hanya untuk maskapai garuda saja dan itu pun dengan pilihan kota.",""
"aufaa Edgar Pratama","Daftar paylater sudah 2 kali di undur lagi smpai tgl 23/2 kenapa seperti itu",""
"Daniel Bhara Christian","Ga bisa daftar paylater. Apk udah versi terbaru. Payah",""
"Niken Sriandriani","Tolong Lebih lengkap tentang Info Hotel. Pedalaman",""
"Shintya Rahmahdani","Tolong dong voucher makan jangan dibatasin android nya vol 3.12 jadi g bisa masuk voucher nya",""
"diana kartikasari","Lagi trouble ya traveloka ... Kok gak bisa dibuka ... Biasanya lancar ..sudah 2 hari ini begitu terus ..padahal tdk ada pembaharuan",""
"Virda Nur","Saya sangat kecewa dengan pemutusan PayLater diakun saya secara sepihak. Sama sekali belum digunakan saat mau menggunakan paylater malah udah dicabut. Sungguh aneh..",""
"gundul gunawan","Mau tanya ,, knp stiap hp dlm keadaan standby mati trus di nyalakan slalu dpt iklan brizzi...pdhl saya gk pnya kartu brizzi , gimana cara menghilangkan iklan brizzi supaya gk muncul lgi",""
"Amelia Perdamayanti","Paylater nya selalu tidak di setujui. Padahal semua sudah benar . Sesuai dengan yang di minta. Harus di setujui dengan cara apa ya",""
"rahmat susanto","Mau tanya, misal saya sudah pesan tiket bus tapi saat keberangkatan saya datangnya telat. Apakah masih tersisa satu kursi buat saya atau sudah di isi penumpang lain? Terimakasih",""
"Mimin Anggraeni","Awalnta beli tiket kereta jd lebih mudah,,tp krnapa sekarang jd ga bisa ??",""
"Madit 12","Setelah di update kenapa ketika ingin mengubah jumlah penumpang tidak bisa",""
"chef pastry","Menurut saya,kalau pembayaran paylater bisa di bayar di alfamart/indomaret lebih bagus lagi,soalnya tidak semua orang yg punya atm,",""
"Yusran Yus","biasanya setiap pembayaran bisa lewat transfer..stlh di update ko pembayaran hrs pake kartu kredit..",""
"Rahmawatie Mihardja","Aduh Traveloka...beli voucher makan ...restorannnya ko ribet... rese..ada yg nolak dngan alasan gegara sudah de redeem sndri lah.. code voucher kan berlaku 1 bulan.. kalo blm dpakai masih berlaku dong... cucup cukup sudah deh..",""
"Yhayha Mars","Saya refand dari 2 tiket seharga 1.500.000 Dijadikan 700.000 tp kenapa di transfer hanya 300.000 bagaimana pihak traveloka ini",""
"HabiFatul 0501","Makin di perberbarui makinTidak bisa di buka..pada KECEWA!",""
"asep iwan","Ternyata banyak banget custumer yg kecewa tdk sesuai yg di iklankan Maaf uninstall aja Ngeri banyak yg ketipu ??????",""
"Albertus Yafran","Kode promo untuk tiket kereta gak ada yang bisa di pake",""
"Elvhy Vivhy Meyvhy","Gimana sih Traveloka Sy mau pngajuan paylater, pas udh fto ktp katax fotox kabur padahal sudah jelas2 fotox ngk kabur.. Sudah ratusan kali di cba ttp aja ngk bisa. Payah1",""
"janri barus","Tidak bisa memecahkan masalah,sudah tlp cs tapi sibuk terus,sistem pembayaran masih udik,berpartner dengan aplikasi yg ecek2,payah ini aplikasi",""
"hendra wahyudi","Kamar tidak sesuai pilihan . Di aplikasi tersedia pilihan. Nyatanya tidak ada. Aplikasi merugikan konsumen. Pake saja kamarnya.",""
"abdul gofur","Kenapa jdi gangguan ya pake traveloka. Padahal udah saya update versinya juga. Knp ga bisa bisa dipakai",""
"albert julian","Penanganan Customer yang payah !!!! adanya paylater bukan mempermudah malah mempersulit ????????",""
"Anton wme","Harga kamar hotel ditraveloka lebih mahal dari harga kamar hotelnya...contoh hotel sadurengas tanah grogot...",""
"Izhy 42","Tolong dihapus semua data saya yg sudah sya kirim coz ng jdi terlalu lama menunggu nya untuk jenis layanan semua nya...trima kasih",""
"IKA SUKMADEWI","Kecewa dr seminggu kemarin gak bisa transaksi via traveloka utk pemesanan tiket kereta api",""
"Irfan Fahrizal","hotel lebih kompetitif lg dong.krn ada beda harga lumayan dg aplikasi lain..",""
"Nurazizah Kallabe","kecewa !!!!! tiba2 diundur jadwal keberangkatan.",""
"Momoface 101","Harga hotel yg ditawarkan disini jauh lebih mahal dibandingkan yg lain",""
"DK Wisata Jogja Tours & Travel","Maaf sy hapus ya, dua x ajuin paylatter tolak mending pake Agoda aja hrga lebih murah bisa bayar nanti",""
"Reimon Wanok","Pengajuan paylater susah sekali....g perna d proses....",""
"Padli Amin","Sumpah ini aplikasi menipu yang buat booking hotel!!",""
"Tito Setiawan","Mudah di gunakan tetapi masih ada yang menyalahgunakan aplikasi ini ,belom aman untuk pemesanan sewa apartemen harian kalo bisa perbanyak pembayaran di tempat",""
"Moto Dragster","Saya sedang mencoba aplikasi traveloka. Karna saya sering jalan"" dan hiburan naik pesawat dan butuh penginapan yg mudah dan tidak ribet.",""
"Dwi Satrio Utomo","Payah. Gk ada layanan customer care bantuan di aplikasi ini . Gk kaya aplikasi tetangga yg ada info dan layanan lgsg customer care nya dan juga RIBET",""
"Abi Sulaiman","Tidak bisa melakukan check flight padahal aplikasi sudah di update",""
"reyval zisiwa alvaro sarumaha","Sangat kecewa dengan aplikasinya sebab hampir setiap akses selalu kena crash, yg ujung2nya aplikasinya wajib di download ulang, sementara point dianggap hangus",""
"mahfud asrofi","Untuk tiket pesawat dan kereta bagus.. Tapi untuk hotel sering mengecewakan untuk yg bintang 2 kebawah.. Untuk bintang 3 ke atas cukup ..",""
"chris kadmaer","Maf min, kok semenjak di perbaharui, semua pesanan tiket yg sdh pernah sya pesan kok hilang semua termasuk dengan poinnya. Mohon pencerahannya",""
"Indra Kk","poin pembelian tiket pesawat hanyalah omong kosong ,,sudah berapa kali melakukan pembelian poin tetap 0",""
"Astri S'Chalid","Mau pendaftaran paylater tp gagal trus saat upload foto, padahal foto sudah sangat jelas!",""
"arijaal firdaus","Lokasi saya cari hotel di Bandung, dipilihin hotel di Solo. Mabok ni aplikasi",""
"Rezdillari maulana","Mungkin bisa ditambah fitur chat dengan pihak hotel agar lebih efisien, selebihnya bagus????",""
"Aminudin Aja","Sangat kecewa. Main tunda pesawat aja.giliran sampai bandara peswat udah terbang",""
"Maz Muhaimin","Bergaya kasih promo, sekali dipake suruh update,,, pas update lemot banget, sudah nunggu lama malah ggal",""
"Rivaldo Galira","harga tiket, harga dunia..pas masukan kupon kok gk berlaku.. giman nih? ah promonya bohong..",""
"Elbi Nasir","Saya dari taiwan mau ke Indonesia, kalo beli tiket bayar ripiah bisa gak ya?",""
"Odilius Herlambang","Tolong tambahkan fitur Kereta Lanjutan karena saya butuh transit disaat lebaran",""
"J4 Plus","Baru jadi ditingkatkan lagi pelayanannya dan beri tiket yang murah bagi kami karyawan biasa biar bisa liburan sekeluarga",""
"Rotua Angriyani","Aplikasi traveloka saya tidak bisa dibuka, sudah cukup lama. kenapa bisa begitu ya?",""
"Eka Aditya","PT caturnusa sejahtera finance Tolong ini saya ga pernah transaksi , tp data saya muncul d BI checking dengan status call 3 Sangat merugikan",""
