"Nama","Review",""
"Tamtam Bastaman","hari ini jam 11 siang saya beli tiket dengan pembayaran transfer melalui BNI virtual account, setelah melakukan pembayaran e tiket tidak di kirim juga, saya hubungi cs di wa & email tidak di respon, di telepon tidak di angkat, ini urgent karena tiket untuk besok.!!!",""
"Pengguna Google","kenapa maskapai Citilink, tidak ada? terus promo nya buat siapa kalw pesawat nya tidak ada! dan epay BRI kok di ilangin, padahal itu paling aman langsung terkonfir, udah kapok pakai briva sering nyangkut , untuk klaim uang kembali, upaya yng melelah kan , menguras pulsa pernah habis pulsa 400ribu. s...Ulasan Lengkapkenapa maskapai Citilink, tidak ada? terus promo nya buat siapa kalw pesawat nya tidak ada! dan epay BRI kok di ilangin, padahal itu paling aman langsung terkonfir, udah kapok pakai briva sering nyangkut , untuk klaim uang kembali, upaya yng melelah kan , menguras pulsa pernah habis pulsa 400ribu. seharus nya briva yg di hapus.",""
"Satria Rachmadi Putra","Sistem Refund sebesar 25% dengan jangka waktu jadwal keberangkatan selang 2 bulan. Terlalu berlebih-lebihan dan membuat kecewa.",""
"Sri Handayani","sangat jelek. 1. reservasi yg gagal dibilang sdh melakukan reservasi dan tdk bs melakukan resrvasi lg. harus menunggu 1 jam. yg terjadi pasti sdh kehabisan tiket. bgm sih??? jelek bgt. 2. karena tdk bs pakai aplikasi lm. hrs diperbarui. kl tdk diperbarui tdk bs dipakai. mk copot saja.",""
"ferarri rafi","Sistem anda buruk sekali? Saya transfer sesuai nominal yang ditentukan tp kenapa malah tidak ada respon penerbitan etiket dan pembayaran Kadaluarsa. Dan saya harus menunggu waktu yang sangat lama sekitar 14 hari untuk refund anda padahal itu kesalahan sistem anda sendiri?",""
"Seema Mahardhita","Payahhh... harga gak yg paling murah2 amat, iklannya ganggu di banyak aplikasi, apalg di Youtube. Dan pengalaman yg paling parah buat sy, promo merchandise Marvel yg harusnya sy dpt tp gak ada kejelasan smpe skrg. Sampe 4 laporan, blsnnya cm lg diproses! Payaahhhh... Kalo gak niat bkin promo mnding...Ulasan LengkapPayahhh... harga gak yg paling murah2 amat, iklannya ganggu di banyak aplikasi, apalg di Youtube. Dan pengalaman yg paling parah buat sy, promo merchandise Marvel yg harusnya sy dpt tp gak ada kejelasan smpe skrg. Sampe 4 laporan, blsnnya cm lg diproses! Payaahhhh... Kalo gak niat bkin promo mnding gak usah.",""
"Yudist Admiral","Lambat sekali melayani keluhan konsumen, harus dibentak-bentak dulu baru difollow up.  Telepon sampai setengah jam aja prosesnya gak selesai selesai.  Pantes gakbakal maju kayak aplikasi sebelah, Gw make ini dari 5 tahun lalu dan mungkin saatnya say goodbye. Semoga ga cepet bangkrut ya, banyak yang ...Ulasan LengkapLambat sekali melayani keluhan konsumen, harus dibentak-bentak dulu baru difollow up.  Telepon sampai setengah jam aja prosesnya gak selesai selesai.  Pantes gakbakal maju kayak aplikasi sebelah, Gw make ini dari 5 tahun lalu dan mungkin saatnya say goodbye. Semoga ga cepet bangkrut ya, banyak yang kalian dzolimi wkwk",""
"Ika wi","sedkit kecewa... promo memang sampai 1 juta... tapi destinasi nya gak seluruh indonesia. ya kalo mau kasih promo jgn daerah2 tertentu untuk domestik ya... apalagi udh mau lebaran gini ya. sangat di sayangkan...tadinya mau booking disini jadi gak jadi 😊.",""
"Suryadi Alif","Sangat jelek utk refund..pdhl maskapai yg membatalkan bkn pribadi tapi kok masih di potong..",""
"Fajar Sidik","Payah tidak professional kalau tingkat pengajuan refund tinggi ya itu tantangan kalian masa cuma bisa janji tidak konsisten sama sekali",""
"titin bng","beberapa kali terjadi, saya pesan kamar hotel, uang sdh ditransfer, pada saat hari H saya datang di hotel yang bersangkutan kamar yg saya book tidak available, coba bayangkan orang yang ga punya uang lebih mau bayar pakai apa buat nyari hotel yang lain sedangkan uang yang sudah ditrasfer tadi akan b...Ulasan Lengkapbeberapa kali terjadi, saya pesan kamar hotel, uang sdh ditransfer, pada saat hari H saya datang di hotel yang bersangkutan kamar yg saya book tidak available, coba bayangkan orang yang ga punya uang lebih mau bayar pakai apa buat nyari hotel yang lain sedangkan uang yang sudah ditrasfer tadi akan balik setelah dua miinggu. Mohon sistem lebih bagus lagi agar tidak terualang lagi kejadian seperti ini.",""
"Great LK","Aplikasi anjing, mau refund aja susahnya setengah mati, kek gak diurus kali lah, sumpah kek anjing kali ini perusahaan",""
"Jiki Harianto","sangat sangat gak recommended. bnyak kekurangan & bnyak kebijakan yg gak d tampilkan pada saat kita blm bayar. setelah bayar,baru ad kbijakan2 yg merugikan . misal 1. booking tiket kereta,sudah bayar,e-tiket gk kluar,pagi nya ada notif klo pemesanan gagal d proses,stelah telp cs,proses refund 14hri....Ulasan Lengkapsangat sangat gak recommended. bnyak kekurangan & bnyak kebijakan yg gak d tampilkan pada saat kita blm bayar. setelah bayar,baru ad kbijakan2 yg merugikan . misal 1. booking tiket kereta,sudah bayar,e-tiket gk kluar,pagi nya ada notif klo pemesanan gagal d proses,stelah telp cs,proses refund 14hri. stelah it sya kehabisan tiket kreta. 2. booking hotel,sblum bayar,gak ada kebijakan2 d deskripsi hotel,namun stelah bayar,baru keluar smua kebijakan n it gak bsa d refund klo mau cancel.",""
"datu abdul rahman hakim","Refund tiket ribet dan lama banget.. kita kayak dipermainkan... Telpon cs ga da solusi.. cuma suruh nunggu dan nunggu...",""
"Trio Widiyanto","Aplikasi yg ngrugi in penumpang, masa pesan tg 10 ,trs di refund sampe skrg gk ada kejelasanya dari tiket com, nyesel pesen tiket disini..",""
"Hengki Sitohang","Benar-benar kecewa dengan pelayanannya, katanya menunggu 14 hari waktu pengembalian, namun ini disuruh lagi nunggu 14 hari untuk ke 3x nya memang nominalnya ga seberapa, tp klo pengembaliannya selama itu, sudah keliatan kurangnya tanggung jawab dari pihak tiket terhadap pelanggannya, fix ga install ...Ulasan LengkapBenar-benar kecewa dengan pelayanannya, katanya menunggu 14 hari waktu pengembalian, namun ini disuruh lagi nunggu 14 hari untuk ke 3x nya memang nominalnya ga seberapa, tp klo pengembaliannya selama itu, sudah keliatan kurangnya tanggung jawab dari pihak tiket terhadap pelanggannya, fix ga install lg nih app",""
"Gibson Tambunan","Emang aplikasi bangsat kho ini, pelayanan kayak anjing, tiket refund dari maret, sampe sekarang ngk di proses 😂😂😂",""
"Angga Rahman","paraahh, mengecewakan, sudah terhitung lebih dari 14 hari, namun refund saya sampai sekarang belum juga dikirimkan, status di aplikasi dan dari CS berbeda, masing2 penjelasan dari tiap CS pun bertele - tele. ngabisin pulsa aja tiap hari nelponin kayak orang ngemis, padahal uang saya. kalau belum mam...Ulasan Lengkapparaahh, mengecewakan, sudah terhitung lebih dari 14 hari, namun refund saya sampai sekarang belum juga dikirimkan, status di aplikasi dan dari CS berbeda, masing2 penjelasan dari tiap CS pun bertele - tele. ngabisin pulsa aja tiap hari nelponin kayak orang ngemis, padahal uang saya. kalau belum mampu bersaing gak usah ngasih promo tiket murah, karna kepincut promo aja sih makanya pakai tiket. com, kasian uang konsumen jadi korban, terima kasih.",""
"Rhinii Nur Indah Sari","Kecewa sama CS nya..ada tulisan Reschedule tapi gak bisa reschedule.. Pesen 10tiket buat keluarga dan sendiri malah oper sana sini.. Minta batalin malah 70% aja mau dibalikin,,itupun 2minggu,,ajeee gileee... Sumpah kesel..abiis ini hapus aja lah...padahal tix point udah byk bgt",""
"rahma wardani","saya kecewa dengan app ini,saya beli tiket pesawat ke jogja sudah bayar dan e- ticket sudah muncul,namun pemesanan kadaluwarsa ,sehingga tidak jadi terbang,sudah hubungi call center tetapi tidak ada jawaban,sudah hubungi email juga tidak dibalas :(",""
"Adex Rama","Giliran refound lamanya udah pake anti galau yg batalkan maskapainya, sumpah kalau uang sudah balik saya akan hapus aplikasi ini..",""
"Andri Gili Tanata","Sangat tidak nyaman..pesan tiket pesawat malah jd ribet kayak gini.. Udah melakukan pembayaran tapi tidak diproses"".. Disuruh sampai kapan dicek trus sudah jelas jelas sistem gak proses masih dicek padahal bukti pembayaran ada..",""
"Muqaffi","aplikasi sampah ,, sistem busuk, kok bisa 4,5 nilainya .... udah pesan udah bayar , status gak berubah, tiket gak dikirim ,, lahh gimana doonnnggg ???????????????????????",""
"Pengguna Google","aplikasih gila... masak saya mesen hotel tp pihak hotel gak boleh membawa istri di kamar.. saya mau mintak ganti hotel gak bisa..mintak kembalikan uang gak bisa kata nya hangus gila makan uang orang padahal gak jd nginep di hotel yang di pesan... makan aj uang saya semoga keluarga kalian busung lapa...Ulasan Lengkapaplikasih gila... masak saya mesen hotel tp pihak hotel gak boleh membawa istri di kamar.. saya mau mintak ganti hotel gak bisa..mintak kembalikan uang gak bisa kata nya hangus gila makan uang orang padahal gak jd nginep di hotel yang di pesan... makan aj uang saya semoga keluarga kalian busung lapar semua gak ikhlas saya... kalian semua gak uzah downlond aplikasi ini percuma entar uang anda di makan nya aj",""
"yuniar_ fusfita_mida","Apilkasi asu anjing",""
"Rifka Febrina","aplikasi sampah. saya sudah bayar hotel 2 malam. karna sistem pembayarannya yang error saya yg jadi korban. kalo error ya error aj ga usah dipake. pokoknya awas aja kalau uang saya tidak kalian kembalikan. not recommended at all. 😡",""
"Yudhistira Erbani","Kenapaa proses refund nya lama sekali, mendingan pake aplikasi sebelah dah",""
"Pengguna Google","Ga konsisten . saya booking tiket pesawat. 1 dewasa, 1 anak, dan 1 bayi trus sesampainya di bandara dsuruh byar lgi untuk yg tiket bayi dmasukin jadi tiket anak dan byarnya melampaui hrga tiket dwasa. Sya kcewa dngan tiket com krna kalo memang mau dmasukin anak knpa di app nya msih trmasuk bayi?. S...Ulasan LengkapGa konsisten . saya booking tiket pesawat. 1 dewasa, 1 anak, dan 1 bayi trus sesampainya di bandara dsuruh byar lgi untuk yg tiket bayi dmasukin jadi tiket anak dan byarnya melampaui hrga tiket dwasa. Sya kcewa dngan tiket com krna kalo memang mau dmasukin anak knpa di app nya msih trmasuk bayi?. Sya hbungi CS nya dan mreka bilang kalo tiketnya memang masuk kategori anak sdangkan di appnya msih masuk kategori bayi. Jelas saya kcewa dngan tiket com     ",""
"tryilya candayani","layanan pARAH bngt, tidak ada kejelasan saya sudah hbis pulsa buat nelpn yg tidak ada hasil dan tidak berpaedah ! kesalahan dr aplikasi ny yg tiba2 close sndri, uang sudah d transfer 193.000 saya minta d proses tidak d proses pemesananny, saya minta d cancel dan tkdak ada respon, sangat mengecewakan",""
"Edy Bakti Kiswantomo","Perlu ditekankan bahwa di aplikasi ini kita tidak bisa refund atau ubah jadwal. Tulisan pengembalian atau refund hanya hiasan belaka. Sangat mengecewakan, masih terbaik TRAVELOKA karena semua sesuai deskripsi dan mudah digunakan",""
"nilta bariroh","saya sangat sangat kecewa dengan aplikasi ini, dalam transaksi muda tapi saat mau chek in ternyata kamarnya yg tersedia tidak sesuai dengan yg ada di voucher dan saat mengajukan refund ternyata sudah tidak bisa. dan saat cs nya dihubungi susah sekali untuk di telfon. tolong diperbaiki lagi.",""
"Febrianto Wibowo","jelek bgt pelayananya, csny ngasi kabar g jelas, acara jm 9 dikasi tau mlai jm 17, penukaran tiket mlai hari jumat dikasi tau mlai hari sabtu. trus g ada sama sekali mengenai fasilitas yg d dapat berkaitan dgn tiket, yg harusnya dapet goody bag n fasilitas lain malah g dapet karena g ada info dama s...Ulasan Lengkapjelek bgt pelayananya, csny ngasi kabar g jelas, acara jm 9 dikasi tau mlai jm 17, penukaran tiket mlai hari jumat dikasi tau mlai hari sabtu. trus g ada sama sekali mengenai fasilitas yg d dapat berkaitan dgn tiket, yg harusnya dapet goody bag n fasilitas lain malah g dapet karena g ada info dama sekali mikir2 dl kl bli tiket disini",""
"Buat Website Indonesia","Ga lagi2 mesen di aplikasi ini. Hampir telat pesawat gue. 3 orang lagi. Digantung terus tiket orang sampai pesawatnya terbang baru di kasih tau tiketnya batal. . Hati2 guys jangan tergiur sama promonya.",""
"Amelia Channel","bikin ribet...utk pembatalan /re schedule jadwal pemberangkatan K.A harus tetep ke stasiun yg di tunjuk.. susah buat yg jadwal liburanya ga tentu atau terkendala masalah saat sudah pesan.",""
"Umar Yadi","(kecewa) Sudah lama gunakan Aplikasi Tiketcom (silahkan cek Profile saya).. namun hingga sekarang inovasinya tertinggal jauh dgn apps sejenis.. Khususnya dlm hal kemudahan cara pembayarannya.. boro2 Paylater aj blum Ada, bahkan mau Input ONEKlik aj gak bisa bisa 😬😬 kalau begini terus bisa ditingga...Ulasan Lengkap(kecewa) Sudah lama gunakan Aplikasi Tiketcom (silahkan cek Profile saya).. namun hingga sekarang inovasinya tertinggal jauh dgn apps sejenis.. Khususnya dlm hal kemudahan cara pembayarannya.. boro2 Paylater aj blum Ada, bahkan mau Input ONEKlik aj gak bisa bisa 😬😬 kalau begini terus bisa ditinggalkan TIKETCOM, kalah sama yg lain..",""
"brownish","Parah sekali dlm pelayanan komplain, sy bayar booking-an hotel via Alfamidi dan sukses tp di aplikasi tdk terbaca telah dibayar dan akhirnya pesanan dianggap kadaluarsa, WA & telp CS jwbannya selalu disuruh menunggu & menunggu (bukti pembayaran telah sy kirim) stiap ditanyakan kmbli ngga ada perkemb...Ulasan LengkapParah sekali dlm pelayanan komplain, sy bayar booking-an hotel via Alfamidi dan sukses tp di aplikasi tdk terbaca telah dibayar dan akhirnya pesanan dianggap kadaluarsa, WA & telp CS jwbannya selalu disuruh menunggu & menunggu (bukti pembayaran telah sy kirim) stiap ditanyakan kmbli ngga ada perkembangan sm skli, stlah msalah sy ini slsai akn sy uninstall dan ngga akn pke nih app payah lagi  ",""
"daniy munthe","aplikasi ga ada otak!!! scnya juga ga ada otak!!! sudah saya email, WhatsApp, telepon, sama sekali ga ada respon, tadi bilangnya bakal menghubungi saya tapi tidak! saya udah menungu berjamjam untuk reskejul cekin saya!",""
"Soplanit Adee","Kecewa terhadap janji yang selalu dituliskan nya dalam badan email , proses refund memakam waktu 14 hari kalender atau bisa lebih cepat dan akan diinformasikan melalui email atau telepon . nyatanya sampai hari ke 15 saya tunggu2 tdk ada info sehingga saya email kembali ternyata itu sudah selesai ter...Ulasan LengkapKecewa terhadap janji yang selalu dituliskan nya dalam badan email , proses refund memakam waktu 14 hari kalender atau bisa lebih cepat dan akan diinformasikan melalui email atau telepon . nyatanya sampai hari ke 15 saya tunggu2 tdk ada info sehingga saya email kembali ternyata itu sudah selesai terefund tidak memakan waktu seminggu. Janji busuk,pelayanan mengecewakan.",""
"Esty Susanty","aku dah transfer tapi kode booking gak di kirim2 juga. udah tlpn ke no Cs tp katanya suruh nunggu2 konfirmasi. biasanya jg gak pernah kaya gini tp skrg jelek banget ni aplikasi. gx kaya aplikasi tiket sebelah,kalo ini sering eror. aplikasi anjing!!!! tlpn CS ga di angkat udah ngabisin pulsa 50rb..",""
"maria dwi stefani","Pengalaman yg menurut saya kurang mengenakan, pas lagi order tiket kreta, jelas2 tiket masih ada, langsung Booking dan langsung transfer pembayaran, setelah ditunggu sampai sehari sebelum jadwal keberangkatan kreta ternyata belum dapat konfirmasi kode Bookingnya, hubungi Customer service ternyata ti...Ulasan LengkapPengalaman yg menurut saya kurang mengenakan, pas lagi order tiket kreta, jelas2 tiket masih ada, langsung Booking dan langsung transfer pembayaran, setelah ditunggu sampai sehari sebelum jadwal keberangkatan kreta ternyata belum dapat konfirmasi kode Bookingnya, hubungi Customer service ternyata tiket yang sudah saya bayar tiketnya tidak ada dan dipindah kejadwal kreta yg lain. Saya minta cancel dan dikonfirmasi dana akan kembali, tetapi sudah 4 bulan dana tidak kembali juga",""
"Global Lyrics","tlong uang saya 1,3 jt di refund ya, saya sudah transfer tp etiket belum terbit, pesanan sudah kedaluwarsa, dihubungi juga katanya nnt dihubungi kembali, nanti kapan nunggu kiamat???",""
"andy liumena","Bagi yang membaca ulasan ini. ketika anda tergiur promosi dari aplikasi ini.. mohon berdo'a supaya tidak ada kendala saat anda bertransaksi, ketika ada masalah aplikasi ini minim solusi, berlarut-larut, dan bertele-tele saya, beserta sekian banyak lagi orang yang mesti pending, reschedule, atau bahk...Ulasan LengkapBagi yang membaca ulasan ini. ketika anda tergiur promosi dari aplikasi ini.. mohon berdo'a supaya tidak ada kendala saat anda bertransaksi, ketika ada masalah aplikasi ini minim solusi, berlarut-larut, dan bertele-tele saya, beserta sekian banyak lagi orang yang mesti pending, reschedule, atau bahkan marah2 akibat aplikasi ini. saya cuma memberikan pendapat saya. andy-indonesia.",""
"Noviarli Wahyudi","Mohon perbaiki aplikasinya. Kinerja aplikasi sekarang tambah menurun. Mengapa sekarang pengiriman tiket ke email lebih sangat lambat ? Mengapa no virtual account bank untuk pembayaran tidak muncul dan tidak dikirim via email, ini menyulitkan pembayaran bahkan jadi cancel karena habis waktu nunggu vi...Ulasan LengkapMohon perbaiki aplikasinya. Kinerja aplikasi sekarang tambah menurun. Mengapa sekarang pengiriman tiket ke email lebih sangat lambat ? Mengapa no virtual account bank untuk pembayaran tidak muncul dan tidak dikirim via email, ini menyulitkan pembayaran bahkan jadi cancel karena habis waktu nunggu virtual account tidak dikirim2.",""
"Rizki Nurazizah","aplikasi pelayanan yg SANGAT BURUK . saya sudah melakukan pembayaran tapi PESANAN KADALUARSA apa maksudnya. ?? saya hubungi CS gk keangkat PERCUMA BIKIN LAYANAN CUSTOMER SERVICE KLO CUSTOMER SERVICENYA GK BISA NGANGKAT TLP. !! komplain lewat CS via WA percuma juga GK ADA TANGGAPAN. Balikin Dana Saya...Ulasan Lengkapaplikasi pelayanan yg SANGAT BURUK . saya sudah melakukan pembayaran tapi PESANAN KADALUARSA apa maksudnya. ?? saya hubungi CS gk keangkat PERCUMA BIKIN LAYANAN CUSTOMER SERVICE KLO CUSTOMER SERVICENYA GK BISA NGANGKAT TLP. !! komplain lewat CS via WA percuma juga GK ADA TANGGAPAN. Balikin Dana Saya biar saya pesan tiket kereta lewat aplikasi lain. !!",""
"Andis Amin","Penipu ini , saya refund sampai sekarang tidak direfund2",""
"Mentari Gemilang","Tolong! Perbarui aplikasi untuk kolom promo diatur lagi, di klasifikasikan sesuai panel ""promo pesawat"", ""promo hotel"" dll, puyeng lihat kolom promo yg sekarang. Slide nya cepet banget ganti. Agak diperlambat waktu buat slidenya geser otomatis. Bisa lihat apk trvlk sebagai rujukan. Oh ya, bisa diper...Ulasan LengkapTolong! Perbarui aplikasi untuk kolom promo diatur lagi, di klasifikasikan sesuai panel ""promo pesawat"", ""promo hotel"" dll, puyeng lihat kolom promo yg sekarang. Slide nya cepet banget ganti. Agak diperlambat waktu buat slidenya geser otomatis. Bisa lihat apk trvlk sebagai rujukan. Oh ya, bisa dipertimbangkan juga tiketdotcom menyediakan tiket bus/travel. makasih",""
"suwignyo ahmad","tertanggal 28 feb 2019, saya tertipu. pemesanan tiket kereta h-90 lebaran. tanggal keberangkatan kereta h-90 tertulis h tanggal 28 Mei. padahal di tempat lain sudah buka sampai tanggal 29. alhasil nggak dapat tiket kereta yang saya mau 😤",""
"jono bagoes","mohon bantuan saya mau refund penerbangan tanggal 03 februari 2019. hubungi call center tidak bisa dihubungi. lewat CS Tiket juga tidak ditanggapi. padahal waktu udah makin abis. Hasil: Langsung di Tanggapi jadi bintangnya aq kembalikan lagi",""
"elemant gaming","mengecewakan...beli tiket kidzania beli 4 cuma dikirim 2 ,yg 2 yg dikirim e tiketnya ,kidzania nya juga ga mau kasih masuk,ga kaya hotel yg tinggal dicocokkan dengan data pembelian....padahal uang sudah dibayar cash full lunas...",""
"Ayu Purwandini","Kalau tidak siap dengan program cicilan 0% lebih baik di hapus saja daripada membuat pelanggan kecewa, krn beberapa kali pakai 0% selalu di tagihkan fullpayment dan harus konfirmasi sana sini & pelayanannya tidak memuaskan",""
"Annisa Ningrum","sangat mengecewakan, sudah transaksi tapi tiket tidak dikirim-kirim sampai keberangkatan dan membuat saya harus membeli tiket lagi distasiun secara langsung. sudah menghubungi cust. service tapi tidak ada balasan sama sekali",""
"ganda rental motor medan","Data profil traveler hilang semua. Setelah update aplikasi terbaru. Hanya tersisa 4 data profil. Tidak bisa menambahkan yg baru. Koq makin ribet gini aplikasinya.",""
"BIMA HARDIANTARA","promo gledek, tapi harga tiket pesawat dinaikin dulu, terus dikasih potongan. Sama aja boong lah. Sama aja dengan harga normal. Itu bagian dr strategi marketing aja. Mending promo mingguan bisa pfftt",""
"dessy erika widiyanti","Keterangan pembatalan flight 72 jam sebelumnya cuma potongan 25% tapi ternyata malah 50%. Waw padahal saya refund dari seminggu sebelum flight. tolong di jelaskan kenapa membuat pernyataan seperti tsb :)",""
"Pengguna Google","hari ini saya di kecewakan orderan tiket saya dengan kode booking 55094298 sudah dibayar dan tidak dikirim bukti tiketnya dan slow respon cs nya..hanya saling lempar aja keluhan saya..",""
"Staytun YT","Ini aplikasi gak lengkap kalo pencari di daerah daerah contoh baturaja.. Yg ada cuma baturaja barat, padahal baturaja timur lebih luas, yg bisa muncul d aplikasi ini cuma satu hotel aja. Itu pun hotel BIL (bukit indah lestari) gak bisa di booking karena gak muncul. Gimana ni min??",""
"Ahmad mahmuddin92","Sangat mengecewakan... Sudah pesan, sudah bayar, tp e ticketnya lama sekali di terbitkan, berbeda dengan aplikasi sejenis yg lainnya, sangat cepat, setelah ditelpon ke CS baru di proses, selesai di proses tp akhirnya dapet tempat yg tdk sesuai dengan keinginan. Hmmm",""
"Pengguna Google","kesel. di aplikasi jelas tertera masih tersedia kursi, tapi ketika di pesan sudah penuh. di cek lg masih tersedia kursi.. pas lanjut pesan penuh. g ngerti ,ini update nya yang kurang cepet ato gimna. kesan nya jadi PHP in customer.",""
"I Nyoman Purnama","aplikasi gak jelas, pesan tiket via aplikasi awalnya lancar, dalam proses pembayaran uang sudah ditransfer, namun karena konfirmasi tiket tidak sengaja terhapus di folder my order, tlpn ke CS. Tapi tiba2 ada pembatalan secara sepihak dari maskapai sehingga hrs di refund. tolong diperbaiki tuh proses...Ulasan Lengkapaplikasi gak jelas, pesan tiket via aplikasi awalnya lancar, dalam proses pembayaran uang sudah ditransfer, namun karena konfirmasi tiket tidak sengaja terhapus di folder my order, tlpn ke CS. Tapi tiba2 ada pembatalan secara sepihak dari maskapai sehingga hrs di refund. tolong diperbaiki tuh proses refund masa sampai 14hari kerja yg benar saja, terganggu kl dpt acara yang darurat (urgent). Jadi ogah instal aplikasi ini",""
"romi maryono","Saya sudah pesan tiket dan dapet kursi nya, tp smp skrg e-tiket nya ga terbit?? ADA APA? MAEN AMA CALO?? HARUSNYA KALAU UDAH DPT KURSI NYA ADA ETIKETNYA DONG? saya ga mau refund. SAYA MAU TIKET SAYA YG TGL 9 JUNI. Saya hapus review jelek saya kalau udab diterbitkan etiket tgl 9 SAYA TUNGGU ITIKAD BA...Ulasan LengkapSaya sudah pesan tiket dan dapet kursi nya, tp smp skrg e-tiket nya ga terbit?? ADA APA? MAEN AMA CALO?? HARUSNYA KALAU UDAH DPT KURSI NYA ADA ETIKETNYA DONG? saya ga mau refund. SAYA MAU TIKET SAYA YG TGL 9 JUNI. Saya hapus review jelek saya kalau udab diterbitkan etiket tgl 9 SAYA TUNGGU ITIKAD BAIKNYA!!!",""
"Pengguna Google","Penipuan discon BCA BRI Udah Gitu Discon Maskapai Malaysia Airline juga, Gmn Mau Discon? Pilihan Maskapainya aja gag ada. Fix Aplikasi ini saya hapus dari hp saya. Masih Bagusan Traveloka",""
"Lia Yuliana","mohon maaf saya ksh bintang 1, saya baru download aplikasi dan memesan tiket. tapi dari semalam sampai sekarang etucket tidak terbit. hubungi customer care dari wa, email sampai telepon tidak ada yang jawab. saya sangat kecewa!!",""
"Gloriani Natapraja","Dulu aplikasi paling keren, tapi sejak bayar artis buat iklan, udah jdi yg terburuk.",""
"Angga Prabowo","minta di perbaharui aplikasi setiap 24 jam sekali. Padahal ga ada perubahan yg signifikan. Knp ga sekalian aja minta di perbaharui aplikasi setiap 1 jam sekali. Mikir!",""
"Ahmad Irsyad","Proses nya ribet, pemesanan sudah di bayar, nunggu sampai 3 jam e tiket tidak terbit2. Udah berkali-kali nelvon blm juga ada solusi, malah di suruh nunggu aja. Eh pas minta uangnya di balikin aja malah gak bisa. Payah.",""
"Deni sitinjak","aplikasi ga jelas, boking penginapan sudah transfer uang, e-voucher jg sudah keluar. tapi pas di penginapan boking tidak terdaftar. Coba Hubungi CS ga bisa, di e-mail jg ga di balas. Ga ada kejelasan sama sekali. Jangan mau mesan atau boking tiket pakai aplikasi ini. Ga ada pertanggung jawaban dan p...Ulasan Lengkapaplikasi ga jelas, boking penginapan sudah transfer uang, e-voucher jg sudah keluar. tapi pas di penginapan boking tidak terdaftar. Coba Hubungi CS ga bisa, di e-mail jg ga di balas. Ga ada kejelasan sama sekali. Jangan mau mesan atau boking tiket pakai aplikasi ini. Ga ada pertanggung jawaban dan promo sering ga sesuai, terutama promo penginapan",""
"Nona ria17","kecewaa...beli tiket disini dana masuk tapu tiket tidak berhsil diproses dan akhirnya refund ,karna tiket yg saya beli untuk tanggal yg sama habis . pengembalian dana lama sudah 1mingguan belum juga diproses sangat kecewa saya tidak mau lagi beli tiket disini .",""
"Pengguna Google","aplikasi bermasalah! pembayaran memang lebih luas dari aplikasi lain, tapi tidak bisa digunakan (error ketika pembayaran diklik). kode promo juga tidak bisa digunakan..",""
"novitasari erman","aplikasi error, selalu tampil coba lagi coba lagi, ini servernya down ya ga bisa akses karena kebanyakan yg akses , tolong diperbaiki sudah 2 hari seperti ini tidak bisa pesan tiket",""
"Primadoni Septiadi","aneh ,,, masa mau pesen hotel beberapa kali ga ada pilihan breakfast nya , hrsnya bisa milih donk ada breakfast apa ngga , masa sudah otomatis ga ada breakfastnya ,, herannn herannnn",""
"Pengguna Google","sangat mengecewakan,order hotel sudah transfer tapi tidak dikonfirm. sampai menunggu lama banget di lobby hotel,sampai pesanan kedaluarsa. telp cs berkali2 no response. NOT RECOMENDED",""
"Sanctie Wehantouw","udah bayar tp katanya pembayaran gagal. udah kirim bukti pembayaran via email tp sampe sekarang blm di konfirmasi. gimana nih. pdhal kalo di traveloka langsung di konfirmasi kalo udah kirim bukti pembayaran. mohon respon secepatnya dong edit: setelah komplain dan konfirmasi berkali2 via email akhirn...Ulasan Lengkapudah bayar tp katanya pembayaran gagal. udah kirim bukti pembayaran via email tp sampe sekarang blm di konfirmasi. gimana nih. pdhal kalo di traveloka langsung di konfirmasi kalo udah kirim bukti pembayaran. mohon respon secepatnya dong edit: setelah komplain dan konfirmasi berkali2 via email akhirnya e-tiket ku dikirim juga. saran buat yg mau komplain lebih baik via DM facebook krna lebih cepat respon",""
"Fendy Aditiya","Halaman promo sulit dibuka. Loading terus. Padhal aplikas tetangga ngga tuh. Enak2 aja buat buka promo dsb. Tolong diringanin sizenya atw apa biar bisa segera dibuka",""
"antonius witjaksana","respon jelek sekali, sudah transfer, 2,4 jt lebih, ternyata voucher belum terima, di email tidak respon, ditelpon habis banyak , tetap tidak respon… aplikasi payah…. mana tanggung jawabnya????.",""
"jumiati agustini","sangat kecewa sama aplikasi ini, sudah beli tiket pesawat dari awal bulan maret ehh malah sekarang ada pemberitahuan lewat sms kalau tiket yang sudah saya bayar di batalkan karna kesalahan operasional.. tolong jangan buat konsumen kecewa",""
"BANG UWA","nyesel saya downloadnya.....saya nyari tiket pesawat buat langsung ngak ketemu....ketemunya malah transit terus....dan setiap saya liat untuk tanggal berikutnya....malah tidak tersedia.harga di kalender dengan harga aslinya malah beda..maksunya apa coba...ngk jelas banget",""
"spray chrome tarakan","pelayanan lambat bgt...saya hubungi CS nya gk da respon... td saya melakukan pembelian tiket..karna saya lewat waktu yg di tentukan..akhirnya status pembelian kadaluwarsa..tetapi saya gk liat waktunya .saya tetap melakukan pembayaran...mohon bls chat saya via WA.dan email...",""
