"Nama","Review",""
"zie baee","bener2 nyesel pesan tiket disini, biaya refund nya potongannya besar dah gitu dikembalikan dalam bentuk voucher. Padahal ini kan bukan kesalahan pihak saya kok besar bgt potongannya dah gitu nunggu prosesnya 1 bulan, besok2 males mau pesen tiket disini lg",""
"Asep Syamsi","Telp, wa, email responnya sangat buruk.. sangat tidak berkualitas",""
"Muhammad Reza","Klo mau menwrima pendaftaran penginapan di cek juga yg punya penginapannya bisa di hub atau tidak, saya sudah bayar, giliran saya hub pemilik apartmentnya tidak bisa, saya sudah hub call center dan minta refund ternyata gagal dengan alasan sudah running padahal saya aja ga make kamarnya, mengecewaka...Ulasan LengkapKlo mau menwrima pendaftaran penginapan di cek juga yg punya penginapannya bisa di hub atau tidak, saya sudah bayar, giliran saya hub pemilik apartmentnya tidak bisa, saya sudah hub call center dan minta refund ternyata gagal dengan alasan sudah running padahal saya aja ga make kamarnya, mengecewakan banget",""
"Nurani Silaban","Nyesal pakai aplikasi anda Nge refund tiket dr tgl 5 april 2020 untuk penerbangan 21 mei 2020.tp udah 27/05/2020 dana belum juga dikembalikan.padahal waktu refund katanya prosesnya 30 hari kerja trus di email lgi 72 jam sebelum keberangkatan .tp semuanya sudah lewat waktu malah tiba"" di email nunggu...Ulasan LengkapNyesal pakai aplikasi anda Nge refund tiket dr tgl 5 april 2020 untuk penerbangan 21 mei 2020.tp udah 27/05/2020 dana belum juga dikembalikan.padahal waktu refund katanya prosesnya 30 hari kerja trus di email lgi 72 jam sebelum keberangkatan .tp semuanya sudah lewat waktu malah tiba"" di email nunggu lgi 14 hari kerja Ga zelas.......",""
"Khavi Doank","Kenapa ssusah buat dapetin virtual briva nya....cuma loading aja sepajang hari",""
"franciska gunawan","Aplikasi sungguh ribet, layanan CS amburadul.",""
"fredy frayuda","Sangat buruk mengenai refund",""
"HARNOLD","Aplikasi parah,uang refurn saya ga masuk2 pdhl sdh 14hari lebih",""
"si jack","Mana refund saya!",""
"Mohammad Ruhen","Sudah 14 sya refund tiket sya tpi masih proses, dan tiba2 dtg email bahwa refund anda kurang dr 72 jam dan akan d proses 72 jam lagi 😪😪 padahal refund nya dari tgl 27 smpek skrg blom ada kepastian d tlpon hanya ngbisin pulsa puluhan ribu tapi tak ada respond dan kejelasa. By wa tak d balas. Nyesel...Ulasan LengkapSudah 14 sya refund tiket sya tpi masih proses, dan tiba2 dtg email bahwa refund anda kurang dr 72 jam dan akan d proses 72 jam lagi 😪😪 padahal refund nya dari tgl 27 smpek skrg blom ada kepastian d tlpon hanya ngbisin pulsa puluhan ribu tapi tak ada respond dan kejelasa. By wa tak d balas. Nyesel beli di d app ini terkahir sya beli disini",""
"mui chan","Sangat kecewa sudah cpe2 bikin surat pengajuan refund mlh d gnti voucher auto delet",""
